Dex Entries;;;;;;;;;;;;;;;;;;;
A strange seed was planted on its back at birth. The plant sprouts and grows with this Pokémon.;It can go for days without eating a single morsel. In the bulb on its back, it stores energy.;The bulb-like pouch on its back grows larger as it ages. The pouch is filled with numerous seeds.;The seed on its back is filled with nutrients. The seed grows steadily larger as its body grows.;It carries a seed on its back right from birth. As it grows older, the seed also grows larger.;While it is young, it uses the nutrients that are stored in the seeds on its back in order to grow.;Bulbasaur can be seen napping in bright sunlight. There is a seed on its back. By soaking up the sun's rays, the seed grows progressively larger.;There is a plant seed on its back right from the day this Pokémon is born. The seed slowly grows larger.;For some time after its birth, it grows by gaining nourishment from the seed on its back.;;;;;;;;;;;
Often found in forests, eating leaves. It has a sharp stinger on its head that injects poison.;Beware of the sharp stinger on its head. It hides in grass and bushes where it eats leaves.;A common sight in forests and grassy areas. Has a poison stinger on its head that may be used if you step on it.;Its poison stinger is very powerful. Its bright-colored body is intended to warn off its enemies.;It attacks using a two-inch poison barb on its head. It can usually be found under the leaves it eats.;The barb on top of its head secretes a strong poison. It uses this toxic barb to protect itself.;A Weedle has an extremely acute sense of smell. It distinguishes its favorite kinds of leaves from those it dislikes by sniffing with its big red proboscis (nose).;Often found in forests and grasslands. It has a sharp, toxic barb of around two inches on top of its head.;It eats its weight in leaves every day. It fends off attackers with the needle on its head.;;;;;;;;;;;
Almost incapable of moving, this Pokémon can only harden its shell to protect itself when it is in danger.;Able to move only slightly. When endangered, it may stick out its stinger and poison its enemy.;Because it is virtually motionless, it may appear dead. Inside, however, a new body is being made.;Although it is a cocoon, it can move a little. It can extend its poison barb if it is attacked.;From this form, it will grow into an adult. As its body becomes softer, the external shell hardens.;Nearly incapable of movement, it leans against stout trees while waiting for its evolution.;It remains virtually immobile while it clings to a tree. However, on the inside, it busily prepares for evolution. This is evident from how hot its shell becomes.;This Pokémon is in a temporary stage while making its body. It is almost completely unable to move on its own.;While awaiting evolution, it hides from predators under leaves and in nooks of branches.;;;;;;;;;;;
It flies at high speed and attacks using the large venomous stingers on its forelegs and tail.;It has three poisonous stingers on its forelegs and its tail. They are used to jab its enemy repeatedly.;Flies at high speeds and attacks with three stingers: one on its rear and one on each of its two forelegs. May appear in swarms.;It can take down any opponent with its powerful poison stingers. It sometimes attacks in swarms.;It has three poison barbs. The barb on its tail secretes the most powerful poison.;It uses sharp, poisonous stings to defeat prey, then takes the victim back to its nest for food.;A Beedrill is extremely territorial. For safety reasons, no one should ever approach its nest. If angered, they will attack in a swarm.;May appear in a swarm. Flies at violent speeds, all the while stabbing with the toxic stinger on its rear.;Its best attack involves flying around at high speed, striking with poison needles, then flying off.;;;;;;;;;;;
A common sight in forests and woods. It flaps its wings at ground level to kick up blinding sand.;Very docile. If attacked, it will often kick up sand to protect itself rather than fight back.;If at all possible, it will try to avoid battles. Small or weak enemies are blown away by Whirlwind.;It usually hides in tall grass. Because it dislikes fighting, it protects itself by kicking up sand.;Common in grassy areas and forests, it is very docile and will chase off enemies by flapping up sand.;It rapidly flaps its wings in the grass, stirring up a dust cloud that drives insect prey out into the open.;It has an extremely sharp sense of direction. It can unerringly return home to its nest, however far it may be removed from its familiar surroundings.;Does not like to fight. It hides in tall grass and so on, foraging for food such as small bugs.;It is docile and prefers to avoid conflict. If disturbed, however, it can ferociously strike back.;;;;;;;;;;;
Very protective of its sprawling territorial area, this Pokémon will fiercely peck at any intruder.;This Pokémon is full of vitality. It constantly flies around its large territory in search of prey.;It builds its nest in the center of its large territory. It uses its powerfully-developed talons to swiftly snatch prey.;It has outstanding vision. However high it flies, it is able to distinguish the movements of its prey.;It renders its prey immobile using well-developed claws, then carries the prey more than 60 miles to its nest.;It slowly flies in a circular pattern, all the while keeping a sharp lookout for prey.;This Pokémon flies around, patrolling its large territory. If its living space is violated, it shows no mercy in thoroughly punishing the foe with its sharp claws.;The claws on its feet are well developed. It can carry prey such as an <<0102exeg>> to its nest over 60 miles away.;It flies over its wide territory in search of prey, downing it with its highly developed claws.;;;;;;;;;;;
When hunting, it skims the surface of water at high speed to pick off unwary prey such as <<0129magi>>.;This Pokémon flies at Mach 2 speed, seeking prey. Its large talons are feared as wicked weapons.;Capable of flying incredibly quickly. In full flight, by the time its flapping is heard, it is long gone.;Its well-developed chest muscles make it strong enough to whip up a gusty windstorm with just a few flaps.;It spreads its gorgeous wings widely to intimidate enemies. It races through the skies at Mach-2 speed.;Its outstanding vision allows it to spot splashing <<0129magi>>, even while flying at 3,300 feet.;This Pokémon has gorgeous, glossy feathers. Many trainers are so captivated by the beautiful feathers on its head that they choose Pidgeot as their Pokémon.;By flapping its wings with all its might, Pidgeot can make a gust of wind capable of bending tall trees.;;;;;;;;;;;;
Bites anything when it attacks. Small and very quick, it is a common sight in many places.;Will chew on anything with its fangs. If you see one, you can be certain that 40 more live in the area.;Scurries around quickly, searching for hard objects to gnaw. It appears to be jittery and unable to remain still.;It eats everything. Wherever food is available, it will settle down and produce offspring continuously.;Living wherever there is food available, it ceaselessly scavenges for edibles the entire day.;This Pokémon's impressive vitality allows it to live anywhere. It also multiplies very quickly.;A Rattata is cautious in the extreme. Even while it is asleep, it constantly moves its ears and listens for danger. It will make its nest anywhere.;Its fangs are long and very sharp. They grow continuously, so it gnaws on hard things to whittle them down.;It searches for food all day. It gnaws on hard objects to wear down its fangs, which grow constantly during its lifetime.;Its incisors continue growing until its death. If its Trainer doesn't offer it a file to gnaw on, it will gnaw on door frames, table legs, and so on.;With their strong capacity for survival, they can live in dirty places without concern. Left unchecked, their numbers multiply rapidly.;Its incisors grow continuously throughout its life. If its incisors get too long, this Pokémon becomes unable to eat, and it starves to death.;This Pokémon is common but hazardous. Its sharp incisors can easily cut right through hard wood.;;;;;;;
With its incisors, it gnaws through doors and infiltrates people's homes. Then, with a twitch of its whiskers, it steals whatever food it finds.;When the sun goes down, it becomes active. It runs around town on a chase for good food for the boss of its nest—<<0020rati>>.;It shows no interest in anything that isn't fresh. If you take it shopping with you, it will help you pick out ingredients.;Night after night, they sneak into people's homes seeking food. A massive outbreak of them has become an issue of public concern.;Its whiskers provide it with a keen sense of smell, enabling it to pick up the scent of hidden food and locate it instantly.;;;;;;;;;;;;;;;
It uses its whiskers to maintain its balance. It apparently slows down if they are cut off.;Its hind feet are webbed. They act as flippers, so it can swim in rivers and hunt for prey.;If attacked, it stands up on its hind legs, bares its fangs and shrieks in an intimidating manner at its enemy.;Gnaws on anything with its tough fangs. It can even topple concrete buildings by gnawing on them.;Its whiskers help it to maintain balance. Its fangs never stop growing, so it gnaws to pare them down.;The webs on its hind legs enable it to cross rivers. It searches wide areas for food.;A Raticate's sturdy fangs grow steadily. To keep them ground down, it gnaws on rocks and logs. It may even chew on the walls of houses.;Its rear feet have three toes each. They are webbed, enabling it to swim across rivers.;It whittles its constantly growing fangs by gnawing on hard things. It can chew apart cinder walls.;With its long fangs, this surprisingly violent Pokémon can gnaw away even thick concrete with ease.;Its hind feet are webbed, so it's a strong swimmer. It can cross rivers and sometimes even oceans.;Its disposition is far more violent than its looks would suggest. Don't let your hand get too close to its face, as it could bite your hand clean off.;People say that it fled from its enemies by using its small webbed hind feet to swim from island to island in Alola.;Its whiskers are essential for maintaining its balance. No matter how friendly you are, it will get angry and bite you if you touch its whiskers.;;;;;;
It forms a group of <<0019ratt>>, which it assumes command of. Each group has its own territory, and disputes over food happen often.;This gourmet Pokémon is particular about the taste and freshness of its food. Restaurants where Raticate live have a good reputation.;It has an incredibly greedy personality. Its nest is filled with so much food gathered by <<0019ratt>> at its direction, it can't possibly eat it all.;It commands a nest of <<0019ratt>>. Different nests don't get along, whipping up severe fights over feeding grounds.;It makes its <<0019ratt>> underlings gather food for it, dining solely on the most nutritious and delicious fare.;;;;;;;;;;;;;;;
Eats bugs in grassy areas. It has to flap its short wings at high speed to stay airborne.;Inept at flying high. However, it can fly around very fast to protect its territory.;Its wings are short, so it can't fly a long distance. If it's not eating, it darts around in a hurry.;It flaps its short wings to flush out insects from tall grass. It then plucks them with its stubby beak.;Very protective of its territory, it flaps its short wings busily to dart around at high speed.;To protect its territory, it flies around ceaselessly, making high-pitched cries.;Its loud cry can be heard over half a mile away. If its high, keening cry is heard echoing all around, it is a sign that they are warning each other of danger.;It busily flits around here and there. Even if it is frail, it can be a tough foe that uses Mirror Move.;It flaps its small wings busily to fly. Using its beak, it searches in grass for prey.;Farmers whose fields are troubled by bug Pokémon appreciate Spearow for its vigorous appetite and look after it.;Its reckless nature leads it to stand up to others—even large Pokémon—if it has to protect its territory.;;;;;;;;;
Its huge and magnificent wings can keep it aloft in the sky. It can remain flying a whole day without landing.;A Pokémon that dates back many years. If it senses danger, it flies high and away, instantly.;A Pokémon that enjoys flying. It uses its broad wings to adroitly catch the wind to soar elegantly into the sky.;It shoots itself suddenly high into the sky, then plummets down in one fell swoop to strike its prey.;It cleverly uses its thin, long beak to pluck and eat small insects that hide under the ground.;It uses its long beak to attack. It has a surprisingly long reach, so it must be treated with caution.;Its long neck and elongated beak are ideal for catching prey in soil or water. It deftly moves this extended and skinny beak to pluck prey.;It has the stamina to keep flying all day on its broad wings. It fights by using its sharp beak.;It's tough and has excellent stamina. It has no problem flying continuously for a whole day carrying a heavy load.;Drawings of a Pokémon resembling Fearow can be seen in murals from deep in ancient history.;Carrying food through Fearow's territory is dangerous. It will snatch the food away from you in a flash!;In Alola, fish Pokémon are its prey. It can be seen circling above the ocean searching for food.;;;;;;;;
Moving silently and stealthily, it eats the eggs of birds, such as <<0016pidg>> and <<0021spea>>, whole.;The older it gets, the longer it grows. At night, it wraps its long body around tree branches to rest.;Slithers silently through grass, searching for its favorite food—<<0016pidg>> and <<0021spea>> eggs.;It can freely detach its jaw to swallow large prey whole. It can become too heavy to move, however.;It always hides in grass. When first born, it has no poison, so its bite is painful, but harmless.;It flutters the tip of its tongue to seek out the scent of prey, then swallows the prey whole.;An Ekans curls itself up in a spiral while it rests. This position allows it to quickly respond to an enemy from any direction with a threat from its upraised head.;A very common sight in grassland, etc. It flicks its tongue in and out to sense danger in its surroundings.;It sneaks through grass without making a sound and strikes unsuspecting prey from behind.;By dislocating its jaw, it can swallow prey larger than itself. After a meal, it curls up and rests.;The eggs of bird Pokémon are its favorite food. It swallows eggs whole, so sometimes an egg gets stuck, and Ekans faints.;;;;;;;;;
It is rumored that the ferocious warning markings on its belly differ from area to area.;The latest research has determined that there are over 20 possible arrangements of the patterns on its stomach.;If it encounters an enemy, it raises its head, intimidating the opponent with the frightening pattern on its body.;Transfixing prey with the face-like pattern on its belly, it binds and poisons the frightened victim.;With a very vengeful nature, it won't give up the chase, no matter how far, once it targets its prey.;To intimidate foes, it spreads its chest wide and makes eerie sounds by expelling air from its mouth.;This Pokémon has a terrifically strong constricting power. It can even flatten steel oil drums. Once it wraps its body around its foe, escaping is impossible.;The pattern on its belly appears to be a frightening face. Weak foes will flee just at the sight of the pattern.;The pattern on its belly is for intimidation. It constricts foes when they are frozen in fear.;After stunning its opponents with the pattern on its stomach, it quickly wraps them up in its body and waits for them to stop moving.;;;;;;;;;;
When several of these Pokémon gather, their electricity could build and cause lightning storms.;It keeps its tail raised to monitor its surroundings. If you yank its tail, it will try to bite you.;Lives in forests away from people. It stores electricity in its cheeks for zapping an enemy if it is attacked.;This intelligent Pokémon roasts hard berries with electricity to make them tender enough to eat.;It raises its tail to check its surroundings. The tail is sometimes struck by lightning in this pose.;When it is angered, it immediately discharges the energy stored in the pouches in its cheeks.;Whenever Pikachu comes across something new, it blasts it with a jolt of electricity. If you come across a blackened berry, it's evidence that this Pokémon mistook the intensity of its charge.;This Pokémon has electricity-storing pouches on its cheeks. These appear to become electrically charged during the night while Pikachu sleeps. It occasionally discharges electricity when it is dozy after waking up.;It stores electricity in the electric sacs on its cheeks. When it releases pent-up energy in a burst, the electric power is equal to a lightning bolt.;It has small electric sacs on both its cheeks. If threatened, it looses electric charges from the sacs.;If it looses crackling power from the electrical pouches on its cheeks, it is being wary.;It occasionally uses an electric shock to recharge a fellow Pikachu that is in a weakened state.;A plan was recently announced to gather many Pikachu and make an electric power plant.;It's in its nature to store electricity. It feels stressed now and then if it's unable to fully discharge the electricity.;Its nature is to store up electricity. Forests where nests of Pikachu live are dangerous, since the trees are so often struck by lightning.;While sleeping, it generates electricity in the sacs in its cheeks. If it's not getting enough sleep, it will be able to use only weak electricity.;This forest-dwelling Pokémon stores electricity in its cheeks, so you'll feel a tingly shock if you touch it.;Pikachu that can generate powerful electricity have cheek sacs that are extra soft and super stretchy.;When Pikachu meet, they'll touch their tails together and exchange electricity through them as a form of greeting.;Possesses cheek sacs in which it stores electricity. This clever forest-dweller roasts tough berries with an electric shock before consuming them.
Its long tail serves as ground to protect itself from its own high-voltage power.;When electricity builds up inside its body, it becomes feisty. It also glows in the dark.;Its electrical attacks may reach 10,000 volts. It discharges electricity from its tail, so it is not harmed by its own power.;When its electricity builds, its muscles are stimulated, and it becomes more aggressive than usual.;If the electric pouches in its cheeks become fully charged, both ears will stand straight up.;If its electric pouches run empty, it raises its tail to gather electricity from the atmosphere.;If the electrical sacs become excessively charged, Raichu plants its tail in the ground and discharges. Scorched patches of ground will be found near this Pokémon's nest.;This Pokémon exudes a weak electrical charge from all over its body that makes it take on a slight glow in darkness. Raichu plants its tail in the ground to discharge electricity.;If it stores too much electricity, its behavior turns aggressive. To avoid this, it occasionally discharges excess energy and calms itself down.;It can loose 100,000-volt bursts of electricity, instantly downing foes several times its size.;It becomes aggressive when it has electricity stored up. At such times, even its Trainer has to take care to avoid being attacked.;As electricity builds up inside its body, it becomes more aggressive. One theory is that the electricity buildup is actually causing stress.;Because so many Trainers like the way <<0025pika>> looks, you don't see this Pokémon very often.;It can discharge bursts of electricity exceeding 100,000 volts— a single strike with that amount of power would incapacitate one of the <<0879copp>> of my homeland.;;;;;;
It only evolves to this form in the Alola region. According to researchers, its diet is one of the causes of this change.;It uses psychokinesis to control electricity. It hops aboard its own tail, using psychic power to lift the tail and move about while riding it.;It focuses psychic energy into its tail and rides it like it's surfing. Another name for this Pokémon is 'hodad'.;When you rub its cheeks, a sweet fragrance comes wafting out. However, you'll also get a light shock!;It loves pancakes prepared with a secret Alolan recipe. Some wonder whether that recipe holds the key to this Pokémon's evolution.;It's believed that the weather, climate, and food of the Alola region all play a part in causing <<0025pika>> to evolve into this form of Raichu.;This Pokémon rides on its tail while it uses its psychic powers to levitate. It attacks with star-shaped thunderbolts.;;;;;;;;;;;;;
Burrows deep underground in arid locations far from water. It only emerges to hunt for food.;Its body is dry. When it gets cold at night, its hide is said to become coated with a fine dew.;When hunting, it hides at the lip of its burrow. If prey comes close, it lunges out and drags in the prey instantly.;If it fell from a great height, this Pokémon could save itself by rolling into a ball and bouncing.;Disliking water, it lives in deep burrows in arid areas. It can roll itself instantly into a ball.;It prefers dry, sandy places because it uses the sand to protect itself when threatened.;Sandshrew's body is configured to absorb water without waste, enabling it to survive in an arid desert. This Pokémon curls up to protect itself from its enemies.;Sandshrew has a very dry hide that is extremely tough. The Pokémon can roll into a ball that repels any attack. At night, it burrows into the desert sand to sleep.;When it curls up in a ball, it can make any attack bounce off harmlessly. Its hide has turned tough and solid as a result of living in the desert.;To protect itself from attackers, it curls up into a ball. It lives in arid regions with minimal rainfall.;It can roll its body into a ball. It moves through the desert by rolling at high speeds.;It usually makes its home in deserts and arid zones, where rain does not fall. It digs holes to catch Bug-type Pokémon.;It lives in areas of limited rainfall. When danger approaches, it curls up into a ball to protect its soft stomach.;When its skin gets wrinkled from moisture, it heads for a volcano. It lies flat on a spot with a lot of geothermal heat and dries itself out.;It loves to bathe in the grit of dry, sandy areas. By sand bathing, this Pokémon rids itself of dirt and moisture clinging to its body.;It burrows into the ground to create its nest. If hard stones impede its tunneling, it uses its sharp claws to scatter them and then carries on digging.;;;;
It lives on snowy mountains. Its steel shell is very hard—so much so, it can't roll its body up into a ball.;An ancient tradition of Alolan festivals, still carried on to this day, is a competition to slide Sandshrew across ice as far as one can.;After fleeing a volcanic eruption, it ended up moving to an area of snowy mountains. Its ice shell is as hard as steel.;The skin on its back is as hard as steel. Predators go after its soft belly, so it clings to the ground desperately.;Its ice-covered body lets it slide across the ground with bullet-like speed, sending its enemies flying when it hits them.;Life on mountains covered with deep snow has granted this Pokémon a body of ice that's as hard as steel.;It lives in snowy mountains on southern islands. When a blizzard rolls in, this Pokémon hunkers down in the snow to avoid getting blown away.;;;;;;;;;;;;;
Curls up into a spiny ball when threatened. It can roll while curled up to attack or escape.;It is skilled at slashing enemies with its claws. If broken, they start to grow back in a day.;Curls into a ball of sharp spikes and rolls into enemies. It is also adept at slashing with its sharp claws.;In an attempt to hide itself, it will run around at top speed to kick up a blinding dust storm.;If it digs at an incredible pace, it may snap off its spikes and claws. They grow back in a day.;It uses its claws to climb trees and then curls its body into a spiny ball, ready to drop onto any prey that appears.;Sandslash's body is covered by tough spikes, which are hardened sections of its hide. Once a year, the old spikes fall out, to be replaced with new spikes that grow out from beneath the old ones.;Sandslash can roll up its body as if it were a ball covered with large spikes. In battle, this Pokémon will try to make the foe flinch by jabbing it with its spines. It then leaps at the stunned foe to tear wildly with its sharp claws.;It curls up in a ball to protect itself from enemy attacks. It also curls up to prevent heatstroke during the daytime when temperatures rise sharply.;It curls up, then rolls into foes with its back. Its sharp spines inflict severe damage.;The spikes on its body are made up of its hardened hide. It rolls up and attacks foes with its spikes.;Although they are sharp, its claws and spikes often break off. They grow back the next day, so it is not bothered by the temporary loss.;Its claws and horns often break off. The broken claws and horns can be used to carve plows for tilling farm fields.;Thanks to its thick claws, it's good at climbing trees. There are plenty of Sandslash that park themselves in trees and go right to sleep.;The drier the area Sandslash lives in, the harder and smoother the Pokémon's spikes feel when touched.;It climbs trees by hooking on with its sharp claws. Sandslash shares the berries it gathers, dropping them down to <<0027sand>> waiting below the tree.;;;;
